Time and date,GPU temperature,GPU usage,Memory usage,Power percent,RAM usage,Framerate
15-01-2025 20:04:33,75,92,4798.902,73,17261,199.6
15-01-2025 20:04:34,76,95,4799.027,81,17268,185.9
15-01-2025 20:04:35,75,96,4800.512,79,17265,191.7
15-01-2025 20:04:36,76,98,4800.512,80,17275,204.6
15-01-2025 20:04:37,76,98,4802.227,80,17277,209.9
15-01-2025 20:04:38,76,98,4802.352,80,17280,198.6
15-01-2025 20:04:39,76,98,4802.352,81,17278,210.3
15-01-2025 20:04:40,76,97,4802.352,81,17278,214.8
15-01-2025 20:04:41,76,98,4802.352,78,17280,227.1
15-01-2025 20:04:42,75,93,4802.352,71,17276,211.4
15-01-2025 20:04:43,76,98,4802.352,80,17278,210.5
15-01-2025 20:04:44,76,98,4802.352,80,17277,225.1
15-01-2025 20:04:45,76,95,4803.004,80,17281,202.4
15-01-2025 20:04:46,76,99,4802.879,80,17281,191.9
15-01-2025 20:04:47,76,98,4802.879,81,17280,199.3
15-01-2025 20:04:48,76,97,4803.066,81,17280,196.7
15-01-2025 20:04:49,76,93,4803.191,79,17285,200.6
15-01-2025 20:04:50,76,98,4803.191,82,17294,198
15-01-2025 20:04:51,76,99,4803.191,80,17290,195.2
15-01-2025 20:04:52,76,98,4803.191,82,17292,198.7
15-01-2025 20:04:53,76,98,4803.066,82,17292,203.6
15-01-2025 20:04:54,76,99,4803.191,82,17296,206.8
15-01-2025 20:04:55,76,98,4803.191,80,17284,200.2
15-01-2025 20:04:56,76,98,4803.191,82,17295,197.2
15-01-2025 20:04:57,76,99,4803.191,83,17294,203.5
15-01-2025 20:04:58,76,96,4803.191,80,17292,201.7
15-01-2025 20:04:59,76,98,4803.441,81,17294,194.9
15-01-2025 20:05:00,76,98,4803.441,81,17294,208.3
15-01-2025 20:05:01,76,98,4803.441,81,17294,216.9
15-01-2025 20:05:02,76,98,4803.441,80,17292,213.3
15-01-2025 20:05:03,76,98,4803.316,80,17295,209.8
15-01-2025 20:05:04,76,98,4803.441,82,17294,203.2
15-01-2025 20:05:05,76,99,4803.441,80,17290,204.4
15-01-2025 20:05:06,76,98,4803.441,81,17277,209.8
15-01-2025 20:05:07,76,99,4803.441,84,17282,207.1
15-01-2025 20:05:08,76,97,4803.441,80,17278,204.1
15-01-2025 20:05:09,76,98,4803.441,79,17281,197.6
15-01-2025 20:05:10,76,99,4803.441,82,17279,203
15-01-2025 20:05:11,76,98,4803.441,82,17279,211.7
15-01-2025 20:05:12,76,98,4803.441,82,17278,221.2
15-01-2025 20:05:13,76,98,4803.441,82,17266,213.8
15-01-2025 20:05:14,76,98,4803.441,82,17266,214.4
15-01-2025 20:05:15,76,98,4803.441,80,17295,216.4
15-01-2025 20:05:16,77,98,4803.441,82,17295,214.8
15-01-2025 20:05:17,76,98,4803.566,80,17293,220.4
15-01-2025 20:05:18,76,98,4802.441,81,17285,220.7
15-01-2025 20:05:19,76,98,4802.316,80,17299,217.5
